,spoc,riemann,n_components,fold_idx
0,-3843.71024552754,-14256.007584959556,29,0
1,-4040.442870016592,-393232.9522414211,29,1
2,-26276.4997855115,-0.010617123398953154,29,2
3,-34416.281879895614,-551995.4312510367,29,3
4,-7831.774728881832,-2368.109091847427,29,4
5,-8248.083754851736,-12532.665091978866,29,5
6,-0.010469571328428628,-5476.206424543975,29,6
7,-5947.195514269677,-0.010727399992330522,29,7
8,-1032094.1283465351,-0.010727399992330522,29,8
9,-0.010612116808241812,-5476.206424543975,29,9
0,-3134.1250686290164,-0.010723026247672518,30,0
1,-201587.81806298412,-13285.99684788293,30,1
2,-25143.190974093068,-5620.356647826036,30,2
3,-7824.047464142051,-0.010724842682158675,30,3
4,-1788572.864203286,-5568.908875381367,30,4
5,-8247.176679084927,-495513.33130043995,30,5
6,-0.010385688965560691,-13285.99684788293,30,6
7,-3827.9118909056483,-1855.2648649084986,30,7
8,-1788572.864203286,-404152.6136719957,30,8
9,-202009.9505951082,-567504.9187009069,30,9
0,-12261.32867630308,-1072787.02040121,31,0
1,-6797.179431851743,-404670.14812052925,31,1
2,-1178296.7277847012,-7248.7461476059825,31,2
3,-0.010533739923383578,-4967.891191276645,31,3
4,-1611486.4207078877,-14457.33460233272,31,4
5,-6216.109326933816,-1063710.6326886467,31,5
6,-2408093.7036980237,-14382.467244418409,31,6
7,-0.010433503346416462,-6805.406825231295,31,7
8,-35539.340538027434,-0.010715770130186097,31,8
9,-0.010356079766112192,-0.010770548555389281,31,9
0,-736296.739118679,-5093665.931497391,32,0
1,-7801.240876379571,-0.010724752986310593,32,1
2,-0.010559757506379164,-0.010596793618705247,32,2
3,-3874.9032462230907,-922346.7136698421,32,3
4,-0.010550124761892876,-238661.26407348638,32,4
5,-3883.358257297913,-0.010721655765503657,32,5
6,-983901.726976001,-5093665.931497391,32,6
7,-0.010559757506379164,-266750.48401378863,32,7
8,-8033.807774450954,-10485.874606192967,32,8
9,-1599384.6749314389,-2205.4115652882297,32,9
0,,,33,0
1,,,33,1
2,,,33,2
3,,,33,3
4,,,33,4
5,,,33,5
6,,,33,6
7,,,33,7
8,,,33,8
9,,,33,9
0,,,34,0
1,,,34,1
2,,,34,2
3,,,34,3
4,,,34,4
5,,,34,5
6,,,34,6
7,,,34,7
8,,,34,8
9,,,34,9
0,,,35,0
1,,,35,1
2,,,35,2
3,,,35,3
4,,,35,4
5,,,35,5
6,,,35,6
7,,,35,7
8,,,35,8
9,,,35,9
0,,,36,0
1,,,36,1
2,,,36,2
3,,,36,3
4,,,36,4
5,,,36,5
6,,,36,6
7,,,36,7
8,,,36,8
9,,,36,9
0,,,37,0
1,,,37,1
2,,,37,2
3,,,37,3
4,,,37,4
5,,,37,5
6,,,37,6
7,,,37,7
8,,,37,8
9,,,37,9
0,,,38,0
1,,,38,1
2,,,38,2
3,,,38,3
4,,,38,4
5,,,38,5
6,,,38,6
7,,,38,7
8,,,38,8
9,,,38,9
0,,,39,0
1,,,39,1
2,,,39,2
3,,,39,3
4,,,39,4
5,,,39,5
6,,,39,6
7,,,39,7
8,,,39,8
9,,,39,9
0,,,40,0
1,,,40,1
2,,,40,2
3,,,40,3
4,,,40,4
5,,,40,5
6,,,40,6
7,,,40,7
8,,,40,8
9,,,40,9
0,,,41,0
1,,,41,1
2,,,41,2
3,,,41,3
4,,,41,4
5,,,41,5
6,,,41,6
7,,,41,7
8,,,41,8
9,,,41,9
0,,,42,0
1,,,42,1
2,,,42,2
3,,,42,3
4,,,42,4
5,,,42,5
6,,,42,6
7,,,42,7
8,,,42,8
9,,,42,9
0,,,43,0
1,,,43,1
2,,,43,2
3,,,43,3
4,,,43,4
5,,,43,5
6,,,43,6
7,,,43,7
8,,,43,8
9,,,43,9
0,,,44,0
1,,,44,1
2,,,44,2
3,,,44,3
4,,,44,4
5,,,44,5
6,,,44,6
7,,,44,7
8,,,44,8
9,,,44,9
0,,,45,0
1,,,45,1
2,,,45,2
3,,,45,3
4,,,45,4
5,,,45,5
6,,,45,6
7,,,45,7
8,,,45,8
9,,,45,9
0,,,46,0
1,,,46,1
2,,,46,2
3,,,46,3
4,,,46,4
5,,,46,5
6,,,46,6
7,,,46,7
8,,,46,8
9,,,46,9
0,,,47,0
1,,,47,1
2,,,47,2
3,,,47,3
4,,,47,4
5,,,47,5
6,,,47,6
7,,,47,7
8,,,47,8
9,,,47,9
0,,,48,0
1,,,48,1
2,,,48,2
3,,,48,3
4,,,48,4
5,,,48,5
6,,,48,6
7,,,48,7
8,,,48,8
9,,,48,9
0,,,49,0
1,,,49,1
2,,,49,2
3,,,49,3
4,,,49,4
5,,,49,5
6,,,49,6
7,,,49,7
8,,,49,8
9,,,49,9
0,,,50,0
1,,,50,1
2,,,50,2
3,,,50,3
4,,,50,4
5,,,50,5
6,,,50,6
7,,,50,7
8,,,50,8
9,,,50,9
0,,,51,0
1,,,51,1
2,,,51,2
3,,,51,3
4,,,51,4
5,,,51,5
6,,,51,6
7,,,51,7
8,,,51,8
9,,,51,9
0,,,52,0
1,,,52,1
2,,,52,2
3,,,52,3
4,,,52,4
5,,,52,5
6,,,52,6
7,,,52,7
8,,,52,8
9,,,52,9
0,,,53,0
1,,,53,1
2,,,53,2
3,,,53,3
4,,,53,4
5,,,53,5
6,,,53,6
7,,,53,7
8,,,53,8
9,,,53,9
0,,,54,0
1,,,54,1
2,,,54,2
3,,,54,3
4,,,54,4
5,,,54,5
6,,,54,6
7,,,54,7
8,,,54,8
9,,,54,9
0,,,55,0
1,,,55,1
2,,,55,2
3,,,55,3
4,,,55,4
5,,,55,5
6,,,55,6
7,,,55,7
8,,,55,8
9,,,55,9
0,,,56,0
1,,,56,1
2,,,56,2
3,,,56,3
4,,,56,4
5,,,56,5
6,,,56,6
7,,,56,7
8,,,56,8
9,,,56,9
0,,,57,0
1,,,57,1
2,,,57,2
3,,,57,3
4,,,57,4
5,,,57,5
6,,,57,6
7,,,57,7
8,,,57,8
9,,,57,9
0,,,58,0
1,,,58,1
2,,,58,2
3,,,58,3
4,,,58,4
5,,,58,5
6,,,58,6
7,,,58,7
8,,,58,8
9,,,58,9
0,,,59,0
1,,,59,1
2,,,59,2
3,,,59,3
4,,,59,4
5,,,59,5
6,,,59,6
7,,,59,7
8,,,59,8
9,,,59,9
0,,,60,0
1,,,60,1
2,,,60,2
3,,,60,3
4,,,60,4
5,,,60,5
6,,,60,6
7,,,60,7
8,,,60,8
9,,,60,9
0,,,61,0
1,,,61,1
2,,,61,2
3,,,61,3
4,,,61,4
5,,,61,5
6,,,61,6
7,,,61,7
8,,,61,8
9,,,61,9
0,,,62,0
1,,,62,1
2,,,62,2
3,,,62,3
4,,,62,4
5,,,62,5
6,,,62,6
7,,,62,7
8,,,62,8
9,,,62,9
0,,,63,0
1,,,63,1
2,,,63,2
3,,,63,3
4,,,63,4
5,,,63,5
6,,,63,6
7,,,63,7
8,,,63,8
9,,,63,9
0,,,64,0
1,,,64,1
2,,,64,2
3,,,64,3
4,,,64,4
5,,,64,5
6,,,64,6
7,,,64,7
8,,,64,8
9,,,64,9
0,,,65,0
1,,,65,1
2,,,65,2
3,,,65,3
4,,,65,4
5,,,65,5
6,,,65,6
7,,,65,7
8,,,65,8
9,,,65,9
0,,,66,0
1,,,66,1
2,,,66,2
3,,,66,3
4,,,66,4
5,,,66,5
6,,,66,6
7,,,66,7
8,,,66,8
9,,,66,9
0,,,67,0
1,,,67,1
2,,,67,2
3,,,67,3
4,,,67,4
5,,,67,5
6,,,67,6
7,,,67,7
8,,,67,8
9,,,67,9
0,,,68,0
1,,,68,1
2,,,68,2
3,,,68,3
4,,,68,4
5,,,68,5
6,,,68,6
7,,,68,7
8,,,68,8
9,,,68,9
0,,,69,0
1,,,69,1
2,,,69,2
3,,,69,3
4,,,69,4
5,,,69,5
6,,,69,6
7,,,69,7
8,,,69,8
9,,,69,9
0,,,70,0
1,,,70,1
2,,,70,2
3,,,70,3
4,,,70,4
5,,,70,5
6,,,70,6
7,,,70,7
8,,,70,8
9,,,70,9
0,,,71,0
1,,,71,1
2,,,71,2
3,,,71,3
4,,,71,4
5,,,71,5
6,,,71,6
7,,,71,7
8,,,71,8
9,,,71,9
0,,,72,0
1,,,72,1
2,,,72,2
3,,,72,3
4,,,72,4
5,,,72,5
6,,,72,6
7,,,72,7
8,,,72,8
9,,,72,9
0,,,73,0
1,,,73,1
2,,,73,2
3,,,73,3
4,,,73,4
5,,,73,5
6,,,73,6
7,,,73,7
8,,,73,8
9,,,73,9
0,,,74,0
1,,,74,1
2,,,74,2
3,,,74,3
4,,,74,4
5,,,74,5
6,,,74,6
7,,,74,7
8,,,74,8
9,,,74,9
0,,,75,0
1,,,75,1
2,,,75,2
3,,,75,3
4,,,75,4
5,,,75,5
6,,,75,6
7,,,75,7
8,,,75,8
9,,,75,9
0,,,76,0
1,,,76,1
2,,,76,2
3,,,76,3
4,,,76,4
5,,,76,5
6,,,76,6
7,,,76,7
8,,,76,8
9,,,76,9
0,,,77,0
1,,,77,1
2,,,77,2
3,,,77,3
4,,,77,4
5,,,77,5
6,,,77,6
7,,,77,7
8,,,77,8
9,,,77,9
0,,,78,0
1,,,78,1
2,,,78,2
3,,,78,3
4,,,78,4
5,,,78,5
6,,,78,6
7,,,78,7
8,,,78,8
9,,,78,9
0,,,79,0
1,,,79,1
2,,,79,2
3,,,79,3
4,,,79,4
5,,,79,5
6,,,79,6
7,,,79,7
8,,,79,8
9,,,79,9
0,,,80,0
1,,,80,1
2,,,80,2
3,,,80,3
4,,,80,4
5,,,80,5
6,,,80,6
7,,,80,7
8,,,80,8
9,,,80,9
0,,,81,0
1,,,81,1
2,,,81,2
3,,,81,3
4,,,81,4
5,,,81,5
6,,,81,6
7,,,81,7
8,,,81,8
9,,,81,9
0,,,82,0
1,,,82,1
2,,,82,2
3,,,82,3
4,,,82,4
5,,,82,5
6,,,82,6
7,,,82,7
8,,,82,8
9,,,82,9
0,,,83,0
1,,,83,1
2,,,83,2
3,,,83,3
4,,,83,4
5,,,83,5
6,,,83,6
7,,,83,7
8,,,83,8
9,,,83,9
0,,,84,0
1,,,84,1
2,,,84,2
3,,,84,3
4,,,84,4
5,,,84,5
6,,,84,6
7,,,84,7
8,,,84,8
9,,,84,9
0,,,85,0
1,,,85,1
2,,,85,2
3,,,85,3
4,,,85,4
5,,,85,5
6,,,85,6
7,,,85,7
8,,,85,8
9,,,85,9
0,,,86,0
1,,,86,1
2,,,86,2
3,,,86,3
4,,,86,4
5,,,86,5
6,,,86,6
7,,,86,7
8,,,86,8
9,,,86,9
0,,,87,0
1,,,87,1
2,,,87,2
3,,,87,3
4,,,87,4
5,,,87,5
6,,,87,6
7,,,87,7
8,,,87,8
9,,,87,9
0,,,88,0
1,,,88,1
2,,,88,2
3,,,88,3
4,,,88,4
5,,,88,5
6,,,88,6
7,,,88,7
8,,,88,8
9,,,88,9
0,,,89,0
1,,,89,1
2,,,89,2
3,,,89,3
4,,,89,4
5,,,89,5
6,,,89,6
7,,,89,7
8,,,89,8
9,,,89,9
0,,,90,0
1,,,90,1
2,,,90,2
3,,,90,3
4,,,90,4
5,,,90,5
6,,,90,6
7,,,90,7
8,,,90,8
9,,,90,9
0,,,91,0
1,,,91,1
2,,,91,2
3,,,91,3
4,,,91,4
5,,,91,5
6,,,91,6
7,,,91,7
8,,,91,8
9,,,91,9
0,,,92,0
1,,,92,1
2,,,92,2
3,,,92,3
4,,,92,4
5,,,92,5
6,,,92,6
7,,,92,7
8,,,92,8
9,,,92,9
0,,,93,0
1,,,93,1
2,,,93,2
3,,,93,3
4,,,93,4
5,,,93,5
6,,,93,6
7,,,93,7
8,,,93,8
9,,,93,9
0,,,94,0
1,,,94,1
2,,,94,2
3,,,94,3
4,,,94,4
5,,,94,5
6,,,94,6
7,,,94,7
8,,,94,8
9,,,94,9
0,,,95,0
1,,,95,1
2,,,95,2
3,,,95,3
4,,,95,4
5,,,95,5
6,,,95,6
7,,,95,7
8,,,95,8
9,,,95,9
0,,,96,0
1,,,96,1
2,,,96,2
3,,,96,3
4,,,96,4
5,,,96,5
6,,,96,6
7,,,96,7
8,,,96,8
9,,,96,9
0,,,97,0
1,,,97,1
2,,,97,2
3,,,97,3
4,,,97,4
5,,,97,5
6,,,97,6
7,,,97,7
8,,,97,8
9,,,97,9
0,,,98,0
1,,,98,1
2,,,98,2
3,,,98,3
4,,,98,4
5,,,98,5
6,,,98,6
7,,,98,7
8,,,98,8
9,,,98,9
0,,,99,0
1,,,99,1
2,,,99,2
3,,,99,3
4,,,99,4
5,,,99,5
6,,,99,6
7,,,99,7
8,,,99,8
9,,,99,9
0,,,100,0
1,,,100,1
2,,,100,2
3,,,100,3
4,,,100,4
5,,,100,5
6,,,100,6
7,,,100,7
8,,,100,8
9,,,100,9
0,,,101,0
1,,,101,1
2,,,101,2
3,,,101,3
4,,,101,4
5,,,101,5
6,,,101,6
7,,,101,7
8,,,101,8
9,,,101,9
0,,,102,0
1,,,102,1
2,,,102,2
3,,,102,3
4,,,102,4
5,,,102,5
6,,,102,6
7,,,102,7
8,,,102,8
9,,,102,9
0,,,103,0
1,,,103,1
2,,,103,2
3,,,103,3
4,,,103,4
5,,,103,5
6,,,103,6
7,,,103,7
8,,,103,8
9,,,103,9
0,,,104,0
1,,,104,1
2,,,104,2
3,,,104,3
4,,,104,4
5,,,104,5
6,,,104,6
7,,,104,7
8,,,104,8
9,,,104,9
0,,,105,0
1,,,105,1
2,,,105,2
3,,,105,3
4,,,105,4
5,,,105,5
6,,,105,6
7,,,105,7
8,,,105,8
9,,,105,9
0,,,106,0
1,,,106,1
2,,,106,2
3,,,106,3
4,,,106,4
5,,,106,5
6,,,106,6
7,,,106,7
8,,,106,8
9,,,106,9
0,,,107,0
1,,,107,1
2,,,107,2
3,,,107,3
4,,,107,4
5,,,107,5
6,,,107,6
7,,,107,7
8,,,107,8
9,,,107,9
0,,,108,0
1,,,108,1
2,,,108,2
3,,,108,3
4,,,108,4
5,,,108,5
6,,,108,6
7,,,108,7
8,,,108,8
9,,,108,9
0,,,109,0
1,,,109,1
2,,,109,2
3,,,109,3
4,,,109,4
5,,,109,5
6,,,109,6
7,,,109,7
8,,,109,8
9,,,109,9
0,,,110,0
1,,,110,1
2,,,110,2
3,,,110,3
4,,,110,4
5,,,110,5
6,,,110,6
7,,,110,7
8,,,110,8
9,,,110,9
0,,,111,0
1,,,111,1
2,,,111,2
3,,,111,3
4,,,111,4
5,,,111,5
6,,,111,6
7,,,111,7
8,,,111,8
9,,,111,9
0,,,112,0
1,,,112,1
2,,,112,2
3,,,112,3
4,,,112,4
5,,,112,5
6,,,112,6
7,,,112,7
8,,,112,8
9,,,112,9
0,,,113,0
1,,,113,1
2,,,113,2
3,,,113,3
4,,,113,4
5,,,113,5
6,,,113,6
7,,,113,7
8,,,113,8
9,,,113,9
0,,,114,0
1,,,114,1
2,,,114,2
3,,,114,3
4,,,114,4
5,,,114,5
6,,,114,6
7,,,114,7
8,,,114,8
9,,,114,9
0,,,115,0
1,,,115,1
2,,,115,2
3,,,115,3
4,,,115,4
5,,,115,5
6,,,115,6
7,,,115,7
8,,,115,8
9,,,115,9
0,,,116,0
1,,,116,1
2,,,116,2
3,,,116,3
4,,,116,4
5,,,116,5
6,,,116,6
7,,,116,7
8,,,116,8
9,,,116,9
0,,,117,0
1,,,117,1
2,,,117,2
3,,,117,3
4,,,117,4
5,,,117,5
6,,,117,6
7,,,117,7
8,,,117,8
9,,,117,9
0,,,118,0
1,,,118,1
2,,,118,2
3,,,118,3
4,,,118,4
5,,,118,5
6,,,118,6
7,,,118,7
8,,,118,8
9,,,118,9
0,,,119,0
1,,,119,1
2,,,119,2
3,,,119,3
4,,,119,4
5,,,119,5
6,,,119,6
7,,,119,7
8,,,119,8
9,,,119,9
0,,,120,0
1,,,120,1
2,,,120,2
3,,,120,3
4,,,120,4
5,,,120,5
6,,,120,6
7,,,120,7
8,,,120,8
9,,,120,9
0,,,121,0
1,,,121,1
2,,,121,2
3,,,121,3
4,,,121,4
5,,,121,5
6,,,121,6
7,,,121,7
8,,,121,8
9,,,121,9
0,,,122,0
1,,,122,1
2,,,122,2
3,,,122,3
4,,,122,4
5,,,122,5
6,,,122,6
7,,,122,7
8,,,122,8
9,,,122,9
0,,,123,0
1,,,123,1
2,,,123,2
3,,,123,3
4,,,123,4
5,,,123,5
6,,,123,6
7,,,123,7
8,,,123,8
9,,,123,9
0,,,124,0
1,,,124,1
2,,,124,2
3,,,124,3
4,,,124,4
5,,,124,5
6,,,124,6
7,,,124,7
8,,,124,8
9,,,124,9
0,,,125,0
1,,,125,1
2,,,125,2
3,,,125,3
4,,,125,4
5,,,125,5
6,,,125,6
7,,,125,7
8,,,125,8
9,,,125,9
0,,,126,0
1,,,126,1
2,,,126,2
3,,,126,3
4,,,126,4
5,,,126,5
6,,,126,6
7,,,126,7
8,,,126,8
9,,,126,9
0,,,127,0
1,,,127,1
2,,,127,2
3,,,127,3
4,,,127,4
5,,,127,5
6,,,127,6
7,,,127,7
8,,,127,8
9,,,127,9
0,,,128,0
1,,,128,1
2,,,128,2
3,,,128,3
4,,,128,4
5,,,128,5
6,,,128,6
7,,,128,7
8,,,128,8
9,,,128,9
0,,,129,0
1,,,129,1
2,,,129,2
3,,,129,3
4,,,129,4
5,,,129,5
6,,,129,6
7,,,129,7
8,,,129,8
9,,,129,9
0,,,130,0
1,,,130,1
2,,,130,2
3,,,130,3
4,,,130,4
5,,,130,5
6,,,130,6
7,,,130,7
8,,,130,8
9,,,130,9
0,,,131,0
1,,,131,1
2,,,131,2
3,,,131,3
4,,,131,4
5,,,131,5
6,,,131,6
7,,,131,7
8,,,131,8
9,,,131,9
0,,,132,0
1,,,132,1
2,,,132,2
3,,,132,3
4,,,132,4
5,,,132,5
6,,,132,6
7,,,132,7
8,,,132,8
9,,,132,9
0,,,133,0
1,,,133,1
2,,,133,2
3,,,133,3
4,,,133,4
5,,,133,5
6,,,133,6
7,,,133,7
8,,,133,8
9,,,133,9
0,,,134,0
1,,,134,1
2,,,134,2
3,,,134,3
4,,,134,4
5,,,134,5
6,,,134,6
7,,,134,7
8,,,134,8
9,,,134,9
0,,,135,0
1,,,135,1
2,,,135,2
3,,,135,3
4,,,135,4
5,,,135,5
6,,,135,6
7,,,135,7
8,,,135,8
9,,,135,9
0,,,136,0
1,,,136,1
2,,,136,2
3,,,136,3
4,,,136,4
5,,,136,5
6,,,136,6
7,,,136,7
8,,,136,8
9,,,136,9
0,,,137,0
1,,,137,1
2,,,137,2
3,,,137,3
4,,,137,4
5,,,137,5
6,,,137,6
7,,,137,7
8,,,137,8
9,,,137,9
0,,,138,0
1,,,138,1
2,,,138,2
3,,,138,3
4,,,138,4
5,,,138,5
6,,,138,6
7,,,138,7
8,,,138,8
9,,,138,9
0,,,139,0
1,,,139,1
2,,,139,2
3,,,139,3
4,,,139,4
5,,,139,5
6,,,139,6
7,,,139,7
8,,,139,8
9,,,139,9
0,,,140,0
1,,,140,1
2,,,140,2
3,,,140,3
4,,,140,4
5,,,140,5
6,,,140,6
7,,,140,7
8,,,140,8
9,,,140,9
0,,,141,0
1,,,141,1
2,,,141,2
3,,,141,3
4,,,141,4
5,,,141,5
6,,,141,6
7,,,141,7
8,,,141,8
9,,,141,9
0,,,142,0
1,,,142,1
2,,,142,2
3,,,142,3
4,,,142,4
5,,,142,5
6,,,142,6
7,,,142,7
8,,,142,8
9,,,142,9
0,,,143,0
1,,,143,1
2,,,143,2
3,,,143,3
4,,,143,4
5,,,143,5
6,,,143,6
7,,,143,7
8,,,143,8
9,,,143,9
0,,,144,0
1,,,144,1
2,,,144,2
3,,,144,3
4,,,144,4
5,,,144,5
6,,,144,6
7,,,144,7
8,,,144,8
9,,,144,9
0,,,145,0
1,,,145,1
2,,,145,2
3,,,145,3
4,,,145,4
5,,,145,5
6,,,145,6
7,,,145,7
8,,,145,8
9,,,145,9
0,,,146,0
1,,,146,1
2,,,146,2
3,,,146,3
4,,,146,4
5,,,146,5
6,,,146,6
7,,,146,7
8,,,146,8
9,,,146,9
0,,,147,0
1,,,147,1
2,,,147,2
3,,,147,3
4,,,147,4
5,,,147,5
6,,,147,6
7,,,147,7
8,,,147,8
9,,,147,9
0,,,148,0
1,,,148,1
2,,,148,2
3,,,148,3
4,,,148,4
5,,,148,5
6,,,148,6
7,,,148,7
8,,,148,8
9,,,148,9
0,,,149,0
1,,,149,1
2,,,149,2
3,,,149,3
4,,,149,4
5,,,149,5
6,,,149,6
7,,,149,7
8,,,149,8
9,,,149,9
0,,,150,0
1,,,150,1
2,,,150,2
3,,,150,3
4,,,150,4
5,,,150,5
6,,,150,6
7,,,150,7
8,,,150,8
9,,,150,9
0,,,151,0
1,,,151,1
2,,,151,2
3,,,151,3
4,,,151,4
5,,,151,5
6,,,151,6
7,,,151,7
8,,,151,8
9,,,151,9
